Genomes	strain	ST	ID	length	replicon	K_locus	K_type	K_locus_confidence	AGly_acquired	Col_acquired	Fcyn_acquired	Flq_acquired	Gly_acquired	MLS_acquired	Phe_acquired	Rif_acquired	Sul_acquired	Tet_acquired	Tgc_acquired	Tmt_acquired	Bla_acquired	Bla_inhR_acquired	Bla_ESBL_acquired	Bla_ESBL_inhR_acquired	Bla_Carb_acquired	iucA	iucB	iucC	iucD	iutA	iroB	iroC	iroD	iroN	rmpA	rmpD	rmpC	rmpA2
1	GCA_000009885.1_ASM988v1_genomic	ST23	AP006726.1	224152	IncFIB(K),IncHI1B	KL1	K1	Perfect	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	2	1	1	2	2	2	rmpA2_3-47%
2	GCA_003584585.1_ASM358458v1_genomic	ST11	AP018672.1	159072	IncA/C2	KL47	K47	Very high	aac(3)-IId^;aadA2^;strA.v1^;strB.v1	-	-	qnrA1^	-	-	-	-	sul1;sul2	-	-	dfrA12	TEM-1D.v1^	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2	GCA_003584585.1_ASM358458v1_genomic	ST11	AP018673.1	134879	IncFII	KL47	K47	Very high	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2*	-	-	-	-	-	CatB4.v1	-	-	tet(A).v1	-	-	OXA-1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2	GCA_003584585.1_ASM358458v1_genomic	ST11	AP018674.1	66250	IncFII(pHN7A8),IncN	KL47	K47	Very high	-	-	fosA3	-	-	-	-	-	-	-	-	-	-	-	-	-	KPC-2	-	-	-	-	-	-	-	-	-	-	-	-	-
2	GCA_003584585.1_ASM358458v1_genomic	ST11	AP018675.1	10060	ColRNAI	KL47	K47	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
3	GCA_003574235.1_ASM357423v1_genomic	ST14	AP018748.1	296750	IncFIB(Mar),IncHI1B	KL2	K2	High	aac(6')-Ib'.v1;aac(6')-Ib-cr.v2;aadA2^;aph(3')-VI;armA	-	-	qnrB1.v2^	-	mphE.v2^;msrE	CatB4.v1	-	sul1	tet(D)	-	dfrA12;dfrA14.v1^	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	NDM-1*	-	-	-	-	-	-	-	-	-	-	-	-	-
3	GCA_003574235.1_ASM357423v1_genomic	ST14	AP018749.1	102910	IncFIB(K)	KL2	K2	High	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
4	GCA_003574255.1_ASM357425v1_genomic	ST14	AP018751.1	102903	IncFIB(K)	KL2	K2	High	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
4	GCA_003574255.1_ASM357425v1_genomic	ST14	AP018752.1	31835	IncR	KL2	K2	High	aac(6')-Ib'.v1;aadA*	-	-	-	-	-	-	-	-	-	-	-	OXA-9.v1;TEM-1D.v1^	-	CTX-M-15	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
5	GCA_003574275.1_ASM357427v1_genomic	ST14	AP018754.1	102917	IncFIB(K)	KL2	K2	High	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
5	GCA_003574275.1_ASM357427v1_genomic	ST14	AP018755.1	31833	IncR	KL2	K2	High	aac(6')-Ib'.v1;aadA*	-	-	-	-	-	-	-	-	-	-	-	OXA-9.v1;TEM-1D.v1^	-	CTX-M-15	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
6	GCA_010367305.1_ASM1036730v1_genomic	ST268	AP019666.1	166700	IncFIB(K)	KL20	K20	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	22	2	2	-
6	GCA_010367305.1_ASM1036730v1_genomic	ST268	AP019667.1	88953	IncL/M(pMU407)	KL20	K20	Very high	aac(6')-Ia^	-	-	-	-	-	-	-	sul1	-	-	-	TEM-1D.v1^	-	-	-	IMP-11*	-	-	-	-	-	-	-	-	-	-	-	-	-
6	GCA_010367305.1_ASM1036730v1_genomic	ST268	AP019668.1	81239	IncFIA(HI1),IncR	KL20	K20	Very high	aac(3)-IId^;strA.v1*;strB.v1*	-	-	qnrS1	-	-	catII.2*	-	sul2	-	-	dfrA14.v1^	LAP-2;TEM-1D.v1^	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
7	GCA_014168575.1_ASM1416857v1_genomic	ST101	AP021910.1	139376	IncFIB(K),IncFII	KL106	unknown (KL106)	Good	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
7	GCA_014168575.1_ASM1416857v1_genomic	ST101	AP021911.1	80272	IncFIA(HI1),IncR	KL106	unknown (KL106)	Good	aac(3)-IId^;strA.v1*;strB.v1*	-	-	qnrB1.v1	-	-	-	-	sul2	-	-	dfrA14.v1^	TEM-1D.v1^	-	CTX-M-15	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
7	GCA_014168575.1_ASM1416857v1_genomic	ST101	AP021912.1	4572	Col440I	KL106	unknown (KL106)	Good	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
7	GCA_014168575.1_ASM1416857v1_genomic	ST101	AP021913.1	4163	Col440I	KL106	unknown (KL106)	Good	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
8	GCA_014168655.1_ASM1416865v1_genomic	ST4	AP021930.1	140912	IncFIB(K),IncFII	KL13	K13	High	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
8	GCA_014168655.1_ASM1416865v1_genomic	ST4	AP021931.1	130287	IncFIA(HI1)	KL13	K13	High	strA.v1^;strB.v1	-	-	qnrB1.v2^	-	-	-	-	sul2	tet(A).v1	-	dfrA14.v1^	TEM-1D.v1^	-	CTX-M-15	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
8	GCA_014168655.1_ASM1416865v1_genomic	ST4	AP021932.1	3981	ColRNAI	KL13	K13	High	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
9	GCA_014170935.1_ASM1417093v1_genomic	ST29	AP022079.1	224088	IncFIB(K),IncFII	KL30	K30	Good	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
9	GCA_014170935.1_ASM1417093v1_genomic	ST29	AP022080.1	176026	IncA/C2	KL30	K30	Good	aac(6')-Ib3^;aadA*	-	-	qnrB4	-	-	cmlA5;floR.v2*	arr-2	sul1;sul1;sul2	-	-	dfrA14.v1^	DHA-1;OXA-10	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
9	GCA_014170935.1_ASM1417093v1_genomic	ST29	AP022081.1	55445	IncN	KL30	K30	Good	-	-	-	-	-	-	-	-	sul1	tet(A).v1*	-	-	-	-	CTX-M-2	-	IMP-1	-	-	-	-	-	-	-	-	-	-	-	-	-
9	GCA_014170935.1_ASM1417093v1_genomic	ST29	AP022082.1	41162	-	KL30	K30	Good	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
9	GCA_014170935.1_ASM1417093v1_genomic	ST29	AP022083.1	4012	-	KL30	K30	Good	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
9	GCA_014170935.1_ASM1417093v1_genomic	ST29	AP022084.1	3729	-	KL30	K30	Good	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
10	GCA_014169335.1_ASM1416933v1_genomic	ST655	AP022140.1	85044	IncFII,IncR	KL62	K62	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
10	GCA_014169335.1_ASM1416933v1_genomic	ST655	AP022141.1	3852	-	KL62	K62	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
